Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Views (co-viewed),Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,YouTube Premium views,YouTube Premium watch time (hours),End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Views,Watch time (hours),Subscribers,Average view duration,Thumbnail impressions,Thumbnail click-through rate (%)
sRCr-iWeUqg,Pros Use These Window Smoke on Mirage during CAC 2026 (Part 2) #csgo #cs2 #counterstrike #cs2mirage,"Jun 23, 2026",44,356,48.24,32.51,,878,0,,,,,,0,0,0,0,7,0,100,0,0,89,0.4362,0,0,,0,0,,0,0,,942,2.3497,0,0:00:21,179,2.79
_NEVigXF_VU,Best A Main Exit Smokes for A Executes (IEM Cologne Major 2026) #cs2 #csgo #counterstrike #cs2anubis,"Jul 25, 2026",78,350,25.18,38.13,,773,5,,,,,,0,0,0,0,4,0,100,0,0,154,0.3427,0,0,,0,0,,0,0,,819,2.0934,0,0:00:19,293,0
dO85A3uLspk,Mid Banana Smokes for Safer CT Control (IEM Cologne Major 2026) #cs2 #csgo #counterstrike #cs2infer…,"Jul 9, 2026",45,346,52.53,49.01,,611,1,,,,,,0,0,0,0,8,0,100,0,0,82,0.3638,0,0,,0,0,,0,0,,673,2.417,0,0:00:23,269,1.86
y8frUgOdQFY,Motor Smoke Every Inferno Player Should Know Part 2 #csgo #cs2 #counterstrike,"Jul 2, 2026",34,346,49.01,35.38,,761,0,,,,,,0,0,0,0,5,0,100,0,0,80,0.2333,0,0,,0,0,,0,0,,801,1.7914,0,0:00:16,155,1.94
xchB7rp1Ma8,Don't Push Mid on Mirage Without These Cross Smokes (CAC 2026) Part 3 #cs2 #mirage,"Jun 25, 2026",51,344,35.3,31.24,,862,0,,,,,,0,0,0,0,8,1,88.89,0,0,86,0.2392,0,0,,0,0,,0,0,,893,1.936,0,0:00:18,95,2.11
NOyvCD2R6aA,Top Banana Defense Smokes Every CT Should Know Part 2 #csgo #cs2 #counterstrike,"Jun 29, 2026",42,343,39.1,47.44,,610,0,,,,,,0,0,0,0,2,0,100,0,0,57,0.1398,0,0,,0,0,,0,0,,586,1.6874,0,0:00:16,111,0.9
DQdkJ-bQINA,Triple Smoke the Pros used During CAC2026 #csgo #cs2 #counterstrike #cs2mirage,"Jun 20, 2026",52,342,42.44,31.26,,896,0,,,,,,0,0,1,0,6,1,85.71,0,0,116,0.3748,0,0,,0,0,,0,0,,951,2.3305,1,0:00:22,51,0
wKTHYTu_HEQ,Every Variation of Long A Cross Smoke used during CAC 2026 Part 2 #csgo #cs2 #counterstrike #cs2dus…,"Jun 14, 2026",40,342,39.31,51.27,,585,0,,,,,,0,0,0,0,6,0,100,1,0,112,0.1948,0,0,,0,0,,0,0,,643,1.6115,0,0:00:15,49,4.08
HgtCgPL1o6U,META Ticket Smoke Used at CAC2026 #csgo #cs2 #counterstrike #cs2mirage,"Jun 20, 2026",39,341,38.83,39.2,,755,0,,,,,,0,0,0,0,5,1,83.33,0,0,108,0.3329,0,0,,0,0,,0,0,,787,1.6487,0,0:00:15,51,1.96
RJ8ntBHJzy0,Best Palace Smokes for B Site Executes (IEM Cologne Major 2026) #cs2 #csgo #counterstrike #cs2anubis,"Jul 20, 2026",51,341,34.2,33.66,,881,3,,,,,,0,0,0,0,5,0,100,0,0,150,0.2644,0,0,,0,0,,0,0,,926,1.8903,0,0:00:17,206,0.97
